ID,First Author,Other Authors,Last Author,Title,Publish Year,Journal,DOI/PMID/Link,Abstract,Rank,Model,Primary Topic,Secondary Topic,Tertiary Topic,Vehicle,pH,Application,Comparison,Complement,Country,,,,,,,,,,,,,,,,,,,,,,,,
2,"Botek, Michal","Krejci, Jakub; McKune, Andrew; Valenta, Michal","Sladeckova, Barbora","Hydrogen Rich Water Consumption Positively Affects Muscle Performance, Lactate Response, and Alleviates Delayed Onset of Muscle Soreness After Resistance Training ",2021,Journal of Strength and Conditioning Research,10.1519/JSC.0000000000003979 ,"Hydrogen rich water consumption positively affects muscle performance, lactate response, and alleviates delayed onset of muscle soreness after resistance training. J Strength Cond Res XX(X): 000-000, 2021-Positive outcomes of hydrogen rich water (HRW) supplementation on endurance performance have been shown, but the effects of HRW in resistance training are unclear. The aim of this study was to assess the effects of 1,260 ml of HRW intake on physiological, perceptual, and performance responses to a resistance training and after 24 hours of recovery. This randomized, double-blinded placebo-controlled cross-over study included 12 men aged 23.8 ± 1.9 years. Subjects performed a half squat, knee flexion, and extension exercises with the load set at 70% of 1 repetition maximum for 3 sets (10 reps/set). Lunges were performed with a load of 30% of body mass for 3 sets (20 reps/set). Time of each set, lactate, and ratings of perceived exertion were assessed mid-way through exercise and immediately after the exercise. Creatine kinase, muscle soreness visual analog scale ratings, countermovement jump, and heart rate variability were evaluated before the training and at 30 minutes, 6, and 24 hours of recovery. Lunges were performed faster with HRW compared with placebo (p < 0.001). Hydrogen rich water reduced lactate at mid-way and immediately after the exercise (HRW: 5.3 ± 2.1 and 5.1 ± 2.2, placebo: 6.5 ± 1.8 and 6.3 ± 2.2 mmol·L-1, p ≤ 0.008). Visual analog scale ratings were significantly lower with HRW (26 ± 11 vs. 41 ± 20 mm, p = 0.002) after 24 hours of recovery. In conclusion, an acute intermittent HRW hydration improved muscle function, reduced the lactate response, and alleviated delayed onset of muscle soreness. ",Positive,Human,Whole Body,Excercise,Fatigue,Water (Mg-Chemico),Alkaline,Ingestion,,,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
5,"Chen, Ji-Bing","Kong, Xiao-Feng","Mu, Feng",High-flow hydrogen inhalation might suppresses the immune function of middle-aged participants: a self-controlled study ,2021,Medical Gas Research,10.4103/2045-9912.310054 ,"Hydrogen inhalation therapy has been proven to be safe and effective in disease treatment in multiple clinical reports, but the gas flow rates used in different studies vary greatly. Since there is no upper limit for the safe concentration of hydrogen, this study tested the effects of high-flow (not high concentration) hydrogen inhalation on immune function. From October 2019 to January 2020, 20 adult participants (31-60 years old) were enrolled in a self-controlled study to check the immune function in peripheral blood lymphocyte subsets before and after a 2-week hydrogen inhalation protocol. The participants inhaled hydrogen for 2 or 4 hours each day. After 2 weeks of hydrogen inhalation, statistically significant changes were observed in follicular helper T cells, helper and cytotoxic T cells, natural killer and natural killer T cells, and gamma delta T cells, generally suggesting a decrease in their proportions. These results show that high-flow hydrogen inhalation has an inhibitory effect on the immune function of healthy participants. The study protocol received ethical approval from the Ethics Committee of Fuda Cancer Hospital, Jinan University on December 7, 2018 (approval No. Fuda20181207). ",Negative,Human,Whole Body,Aging,Immune Dysfunction,Gas,N/A,Inhalation,,,China,,,,,,,,,,,,,,,,,,,,,,,,
6,"Chilicka, Karlona","Rogowska, Aleksandra M.","Szygula, Renata",Effects of Topical Hydrogen Purification on Skin Parameters and Acne Vulgaris in Adult Women ,2021,Healthcare,10.3390/healthcare9020144 ,"Background: Acne vulgaris is a prevalent dermatological disease characterized by skin eruptions, which may decrease the sufferer's quality of life. Hydrogen purification treatment is a new procedure used in cosmetology to improve the skin parameters of the face. This study examined the effectiveness of hydrogen purification treatment to improve women's skin conditions with regard to acne vulgaris. Methods: In this study, 30 women participated who suffered from a high level of sebum and acne. The control group was comprised of 30 healthy women with a low level of sebum. The Hellgren-Vincent Scale and Derma Unit SSC 3 device were used to assess acne vulgaris severity and skin properties, respectively. Four hydrogen purification sessions were carried out at 7-day intervals, using the Hebe Hydrogenium+ generating alkaline water. Results: At baseline and 7 and 14 days after finishing the series of treatments, the levels of oiliness, moisture, and skin pH were tested. The main effects of treatment were significant in the following parameters: pH around the bottom lip, moisture between the eyebrows and around the nose, and oily skin in all three face sites. Conclusions: The level of sebum decreased and moisture levels increased during hydrogen purification. Topical hydrogen purification is an effective and safe treatment for acne vulgaris.
",Positive,Human,Skin,Cosmetic Issues,Acne,Water (Electrolysis),Alkaline,Bath,,,Poland,,,,,,,,,,,,,,,,,,,,,,,,
7,"Botek, Michal","Sladeckova, Barbora; Krejci, Jakub; Pluhacek, Frantisek","Najmanova, Eliska",Acute hydrogen-rich water ingestion stimulates cardiac autonomic activity in healthy females,2021,Acta Gymnica,10.5507/ag.2021.009,"Background: Hydrogen-rich water (HRW) has been shown to have a stimulating effect on the human body. Objective: The aim of the study was to assess the influence of acute HRW intake on autonomic cardiac regulation during 50 min of rest sitting. Methods: Fourteen healthy females (age 21.7 ± 1.2 years, body mass 67.8 ± 8.7 kg, height 167 ± 5.5 cm) took part in this double-blind, randomized, placebo-controlled trial with crossover design. Heart rate variability (HRV) was monitored in the sitting position after administration of 1260 ml of HRW or placebo. Time domain indexes of HRV as the square root of the mean of the squares of differences between adjacent RR intervals (RMSSD), the standard deviation of all RR intervals (SDNN) and the ratio of SDNN/RMSSD as an index of sympatho-vagal balance were used to assess autonomic cardiac response. The values were transformed using natural logarithm (Ln). Results: After administration of HRW, we found significantly increased ratio Ln SDNN/RMSSD when comparing it to placebo in 25 min (HRW: 0.40 ± 0.30, placebo: 0.26 ± 0.25, p = .049) and 35 min (HRW: 0.44 ± 0.30, placebo: 0.28 ± 0.28, p = .029) of rest sitting. Ln SDNN was significantly increased after HRW administration when compared to placebo in 45 min (HRW: 4.41 ± 0.42 ms, placebo: 4.28 ± 0.31 ms, p = .049) of rest sitting. Conclusions: Acute HRW ingestion induced a relative increase in sympathetic activity between 25 and 35 min post-ingestion, whereas vagal activity was not affected.",Neutral,Human,Heart,Excercise,Heart Rhythm,"Water, Commercial (Aquastamina)",Neutral,Ingestion,,,Czech Republic,,,,,,,,,,,,,,,,,,,,,,,,
56,"Choi, Young Ah","Lee, Dong Hyeon; Cho, Doo-Yeoun","Lee, Yong-Jae","Outcomes Assessment of Sustainable and Innovatively Simple Lifestyle Modification at the Workplace - Drinking Electrolyzed-Reduced Water (OASIS-ERW): A Randomized, Double-Blind, Placebo-Controlled Trial ",2020,Antioxidants,10.3390/antiox9070564 ,"Oxidative stress has been associated with many diseases as well as aging. Electrolyzed-reduced water (ERW) has been suggested to reduce oxidative stress and improve antioxidant potential. This study investigated the effects of drinking ERW on biomarkers of oxidative stress and health-related indices in healthy adults. We conducted a randomized, double-blind, placebo-controlled clinical trial on 65 participants, who were allocated into two groups. Of these, 61 received intervention (32 with ERW and 29 MW [mineral water]). All participants were instructed to drink 1.5 L/day of ERW or MW for eight weeks. Biomarkers of oxidative stress and health-related indices were assessed at baseline as well as after 4 weeks and 8 weeks of intervention. Of the primary outcome variables assessed, diacron-reactive oxygen metabolites (d-ROMs) and biological antioxidant potential showed a significant interaction between the groups and time, with d-ROMs levels significantly decreased at 8 weeks in ERW compared to those in MW. Among the secondary outcome variables, total, visceral, and subcutaneous fat mass significantly changed over time, with a significant association observed between the groups and time. Thus, daily ERW consumption may be a potential consideration for a sustainable and innovatively simple lifestyle modification at the workplace to reduce oxidative stress, increase antioxidant potential, and decrease fat mass. ",Positive,Human,Whole Body,Inflammation,Oxidative Stress,Water (Electrolysis),Alkaline,Ingestion,,,South Korea,,,,,,,,,,,,,,,,,,,,,,,,
59,"Dobashi, Shohei","Takeuchi, Kaito","Koyama, Katsuhiro",Hydrogen-rich water suppresses the reduction in blood total antioxidant capacity induced by 3 consecutive days of severe exercise in physically active males,2020,Medical Gas Research,10.4103/2045-9912.279979 ,"Repeated sprint exercise can interfere with intramuscular redox balance and cause systemic oxidative stress and muscle damage. There is growing evidence that molecular hydrogen counteracts oxidative and/or inflammatory responses. Therefore, we investigated the effects of molecular hydrogen-rich water (HW) on muscle performance and oxidative stress markers induced by strenuous exercise. A single-blind, crossover, randomized controlled trial has been designed. Eight male volunteers completed two 3-day consecutive exercise tests under two conditions: HW and placebo water (PW). The exercise test included a countermovement jump, maximal voluntary isometric contraction of knee extensors, and sprint cycling. The sprint cycling exercise was comprised three repetitions of 10-second maximal pedaling against a resistance of 7.5% body mass and 110-second active rest (no-load pedaling). Before and after the exercise test, participants drank the 500 mL of HW (5.14 ± 0.03 ppm in H2 concentration) or PW (0.00 ± 0.00 ppm). At 7 hours before the first exercise test (Day 1), as baseline, and 16 hours after the exercise test on each day, blood samples were obtained. Exercise performances in both conditions were not significantly different over 3 consecutive days. In PW trial, relative changes in biological antioxidant potential/diacron-reactive oxygen metabolites, as an index of systemic antioxidant potential, from baseline gradually decreased as the day passed. However, HW suppressed the reduction in biological antioxidant potential/diacron-reactive oxygen metabolites observed in PW. Drinking HW contributed to the maintenance of the redox status during consecutive days of strenuous exercise and might help prevent accumulative muscular fatigue. The study was approved by the Human Research Ethics Committee of the University of Yamanashi, Japan (approval No. H26-008) on December 17, 2014. ",Positive,Human,Whole Body,Excercise,Fatigue,Water (Electrolysis),Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
66,"Hori, Amane","Ichihara, Masatoshi; Kimura, Hayata; Ogata, Hisayoshi; Kondo, Takaharu","Hotta, Norio","Inhalation of molecular hydrogen increases breath acetone excretion during submaximal exercise: a randomized, single-blinded, placebo-controlled study ",2020,Medical Gas Research,10.4103/2045-9912.296038 ,"Aerobic exercise is widely accepted as a beneficial option for reducing fat in humans. Recently, it has been suggested that molecular hydrogen (H2) augments mitochondrial oxidative phosphorylation. Therefore, the hypothesis that inhaling H2 could facilitate lipid metabolism during aerobic exercise was investigated in the current study by measuring the breath acetone levels, which could be used as non-invasive indicators of lipid metabolism. This study aimed to investigate the effect of inhaling H2 on breath acetone output during submaximal exercise using a randomized, single-blinded, placebo-controlled, and cross-over experimental design. After taking a 20-minute baseline measurement, breath acetone levels were measured in ten male subjects who performed a 60% peak oxygen uptake-intensity cycling exercise for 20 minutes while inhaling either 1% H2 or a control gas. In another experiment, six male subjects remained in a sitting position for 45 minutes while inhaling either 1% H2 or a control gas. H2 significantly augmented breath acetone and enhanced oxygen uptake during exercise (P < 0.01). However, it did not significantly change oxidative stress or antioxidant activity responses to exercise, nor did it significantly alter the breath acetone or oxygen uptake during prolonged resting states. These results suggest that inhaling H2 gas promotes an exercise-induced increase in hepatic lipid metabolism. The study was approved by the Ethical Committee of Chubu University, Japan (approved No. 260086-2) on March 29, 2018. ",Positive,Human,Liver,Excercise,Lipid Metabolism,Gas,N/A,Inhalation,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
67,"Hori, Amane","Sobue, Sayaka; Kurokawa, Ryosuke; Hirano, Shin-Ichi; Ichihara, Masatoshi","Hotta, Norio","Two-week continuous supplementation of hydrogen-rich water increases peak oxygen uptake during an incremental cycling exercise test in healthy humans: a randomized, single-blinded, placebo-controlled study ",2020,Medical Gas Research,10.4103/2045-9912.304223 ,"The various beneficial effects of the intake of molecular hydrogen (H2) have been demonstrated in the field of sports science. Although supplementation of H2 has been reported to increase mitochondrial metabolism in animal studies, the effects of the administration of H2 on aerobic capacity during exercise in humans are still not clear. We investigated whether a single or 2-week continuous intake of H2-rich water (HW) enhanced the aerobic capacity during incremental exercise in healthy humans. In this randomized, single-blinded, placebo-controlled experimental study, the participants performed an incremental cycling exercise to measure peak oxygen uptake and peak load before and after a single (500 mL) or a 2-week supplementation (total 5 L) of HW. In the latter experiment, the participants drank the 500 mL of HW on all weekdays (i.e., 10 times). The single intake of HW did not significantly increase peak oxygen uptake and peak load, and did not significantly alter the responses in oxidative stress, antioxidant activity, and lactate levels. However, importantly, the 2-week continuous consumption of HW significantly augmented peak oxygen uptake and tended to increase the peak load without any significant changes in lactate levels, oxidative stress, and antioxidant responses. In conclusion, the continuous supplementation of HW potentially augments the aerobic capacity, implying that continuous supplementation of H2 might help improve aerobic exercise performance and physical health. This study protocol was approved by the Ethical Committee of Chubu University (approval No. 260086-2) on March 29, 2018. ",Positive,Human,Whole Body,Excercise,Performance Enhancement,Water (Electrolysis),Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
69,"Ishibashi, Toru","Kawamoto, Kosuke; Matsuno, Kasumi; Ishihara, Genki; Baba, Takamichi","Komori, Nobuaki",Peripheral endothelial function can be improved by daily consumption of water containing over 7 ppm of dissolved hydrogen: A randomized controlled trial,2020,PLoS One,10.1371/journal.pone.0233484 ,"Background: Measurement of the reactive hyperemia index (RHI) using peripheral arterial tonometry (PAT) has shown benefits in the evaluation of vascular endothelial function and prediction of cardiovascular disease prognosis. Thus, it is important to examine the factors that promote the RHI. In this study, we aimed to investigate the effect of molecular hydrogen (H2) on reactive hyperemia-PAT of the small arteries of fingers in healthy people. Methods: To determine the efficacy of H2 for improving peripheral vascular endothelial function, water containing high H2 concentrations was administered to participants, and the Ln_RHI was measured in the finger vasculature. Sixty-eight volunteers were randomly divided into two groups: a placebo group (n = 34) that drank molecular nitrogen (N2)-containing water and a high H2 group (n = 34) that drank high H2 water (containing 7 ppm of H2: 3.5 mg H2 in 500-mL water). The Ln_RHI was measured before ingesting the placebo or high H2 water, 1 h and 24 h after the first ingestion, and 14 days after daily ingestion of high H2 water or the placebo. The mixed effects model for repeated measures was used in data analysis. Results: The high H2 group had a significantly greater improvement in Ln_RHI than the placebo group. Ln_RHI improved by 22.2% (p<0.05) at 24 h after the first ingestion of high H2 water and by 25.4% (p<0.05) after the daily consumption of high H2 water for 2 weeks. Conclusions: Daily consumption of high H2 water improved the endothelial function of the arteries or arterioles assessed by the PAT test. The results suggest that the continuous consumption of high H2 water contributes to improved cardiovascular health.
",Positive,Human,Heart,Atherosclerosis,Inflammation,Water (Dissolved),Neutral,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
71,"Ito, Hiroto","Kabayama, Shigeru","Goto, Kazushige",Effects of electrolyzed hydrogen water ingestion during endurance exercise in a heated environment on body fluid balance and exercise performance ,2020,Temperature,10.1080/23328940.2020.1742056 ,"Electrolyzed hydrogen water (EHW) is generated at a cathode. It contains many hydrogen molecules with high alkaline properties. The physiological effects of ingesting EHW during endurance exercise are unclear. The purpose of this study was to determine the effects of ingesting EHW during endurance exercise in a heated environment on body fluid balance and exercise performance. Twelve triathletes (20.0 ± 1.3 years, 171 ± 6 cm, 60.6 ± 3.9 kg, __O2max 67.1 ± 3.8 mL/kg/min) performed pedaling exercise for 60 min at 65% of __O2max consuming either purified water (CON trial) or EHW (EHW trial) and then conducted an incremental pedaling test. Blood parameters, tissue temperature, and respiratory variables were determined during 60 min of exercise. The time to exhaustion (TTE) during the incremental pedaling test was also determined. Body weights were 1.1 ± 0.4 kg lower after exercise, with no significant differences between trials. Plasma volume and serum osmolality and blood sodium and potassium concentrations significantly changed with exercise, but no significant differences were observed between trials. The pH, blood lactate and bicarbonate concentrations, and changes in skin and muscle temperature did not significantly differ between the two trials. Energy expenditure during exercise was significantly (P = 0.04) lower in the EHW trial (13.2 ± 0.5 kcal/min) than in the CON trial (13.7 ± 0.4 kcal/min). TTE did not significantly differ between the trials. In conclusion, EHW ingestion during endurance exercise in a heated environment decreased energy expenditure but did not affect body fluid balance or exercise performance. Abbreviations: CON: control trial; CV: coefficient of variation; EHW: electrolyzed hydrogen water; HR: heart rate; RPE: rating of perceived exertion; SE: standard error; TP: total protein; TTE: time to exhaustion. ",Neutral,Human,Whole Body,Excercise,Performance Enhancement,Water (Electrolysis),Alkaline,Ingestion,,,Japan,,,,,,,,,,,,,,,,,,,,,,,,
