# Final 30 gap keywords: 2+ of {piurify,tyentusa,drwater.store,ocemida,alkalinewaterplus,purewaternorthwest} rank <=20 (US, best_position incl. AI Overview citations where kind=aio; piurify pull lacks kind), echowater.com not in top 100. volume/KD from keywords-explorer-overview (12-mo avg).
keyword	volume	KD	TP	intent	competitor positions + URLs
hydrogen water negative side effects	7700	6	44000	I	piurify 1 https://www.piurify.com/blogs/news/what-is-hydrogen-water; drwater 7 https://drwater.store/blogs/news/hydrogen-water-side-effects-diarrhea
best hydrogen water bottle	7100	4	3000	CI	ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/best-hydrogen-water-bottle-2025; purewaternorthwest 1(AIO) https://purewaternorthwest.com/top-hydrogen-water-bottles-2026/
hydrogen water pitcher	500	0	90	CTI	drwater 16 https://drwater.store/products/hydrogen-water-pitcher; tyentusa 17 https://www.tyentusa.com/blog/hydrogen-water-pitcher
hydrogen water side effects	450	4	21000	I	piurify 6 https://www.piurify.com/blogs/news; drwater 10 https://drwater.store/blogs/news
do hydrogen water bottles work	450	6	24000	I	tyentusa 8 https://www.tyentusa.com/blog/hydrogen-water-bottle-benefits; ocemida 9 https://ocemida.com/blogs/hydrogen-water/how-does-a-hydrogen-water-bottle-work; drwater 18 https://drwater.store/blogs/news/hydrogen-water-bottle-technology
best hydrogen water bottles on the market	350	4	2900	CI	drwater 1(AIO) https://drwater.store/blogs/news/hydrogen-water-bottle-best-budget; ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/best-hydrogen-water-bottle-2025; purewaternorthwest 9 https://purewaternorthwest.com/top-hydrogen-water-bottles-2026/
how to make hydrogen water at home	300	0	1600	I	drwater 1(AIO) https://drwater.store/blogs/news/make-hydrogen-water-at-home; tyentusa 1(AIO) https://www.tyentusa.com/blog/how-to-make-hydrogen-water
how does a hydrogen water bottle work	300	0	350	I	ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/how-does-a-hydrogen-water-bottle-work; piurify 1 https://www.piurify.com/blogs/news/how-do-hydrogen-water-bottles-work; tyentusa 1(AIO) https://www.tyentusa.com/blog/hydrogen-water-bottle-benefits; drwater 10 https://drwater.store/blogs/news/hydrogen-water-bottle-technology
how to get hydrogen water	300	1	14000	I	drwater 1(AIO) https://drwater.store/blogs/news/make-hydrogen-water-guide; piurify 1 https://www.piurify.com/blogs/news/how-do-hydrogen-water-bottles-work
what is the best hydrogen water bottle	300	0	600	CI	drwater 1(AIO) https://drwater.store/blogs/news/hydrogen-water-bottle-best-budget; ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/best-hydrogen-water-bottle-2025; purewaternorthwest 1(AIO) https://purewaternorthwest.com/top-hydrogen-water-bottles-2026/
how do hydrogen water bottles work	300	0	400	I	ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/how-does-a-hydrogen-water-bottle-work; piurify 1 https://www.piurify.com/blogs/news/how-do-hydrogen-water-bottles-work; tyentusa 1(AIO) https://www.tyentusa.com/blog/hydrogen-water-bottle-benefits; drwater 8 https://drwater.store/blogs/news/hydrogen-water-bottle-technology
how do you make hydrogen water	250	0	1600	I	drwater 1(AIO) https://drwater.store/blogs/news/make-hydrogen-water-at-home; piurify 1 https://www.piurify.com/blogs/news/how-do-hydrogen-water-bottles-work; tyentusa 8 https://www.tyentusa.com/blog/how-do-i-make-hydrogen-water
how to clean hydrogen water bottle	250	0	40	I	piurify 1 https://www.piurify.com/blogs/news/how-to-clean-a-hydrogen-water-bottle; ocemida 4 https://ocemida.com/blogs/hydrogen-water/how-to-clean-your-hydrogen-water-generator-with-pem-technology
best hydrogen water bottle 2026	250	0	-	CI	piurify 1 https://www.piurify.com/blogs/news/best-hydrogen-water-bottles-2026; purewaternorthwest 1(AIO) https://purewaternorthwest.com/top-hydrogen-water-bottles-2026/
hydrogen water vs alkaline water	250	0	250	I	drwater 1(AIO) https://drwater.store/blogs/news/hydrogen-water-vs-ionized-water-differences; piurify 1 https://www.piurify.com/blogs/news/hydrogen-water-vs-alkaline-water; tyentusa 1(AIO) https://www.tyentusa.com/blog/what-is-hydrogen-alkaline-water
best time to drink hydrogen water	200	0	250	I	drwater 7 https://drwater.store/blogs/news/best-time-benefits-drinking-hydrogen-water; ocemida 9 https://ocemida.com/blogs/hydrogen-water/when-to-drink-hydrogen-water; piurify 10 https://www.piurify.com/blogs/news/how-much-hydrogen-water-a-day
what does a hydrogen water bottle do	200	12	17000	I	drwater 1(AIO) https://drwater.store/blogs/news/hydrogen-water-bottles-function; ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/how-does-a-hydrogen-water-bottle-work; piurify 1 https://www.piurify.com/blogs/news/how-do-hydrogen-water-bottles-work; tyentusa 1(AIO) https://www.tyentusa.com/blog/how-to-use-hydrogen-water-bottle
do hydrogen water bottles really work	200	5	38000	I	ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/how-does-a-hydrogen-water-bottle-work; tyentusa 1(AIO) https://www.tyentusa.com/blog/do-hydrogen-water-bottles-work
how much hydrogen water a day	200	13	24000	I	drwater 1(AIO) https://drwater.store/blogs/news/best-time-benefits-drinking-hydrogen-water; ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/how-much-hydrogen-water-per-day; piurify 1 https://www.piurify.com/blogs/news/how-much-hydrogen-water-a-day; tyentusa 1(AIO) https://www.tyentusa.com/blog/how-much-hydrogen-water-to-drink-daily
best hydrogen water brands	200	2	70	CI	ocemida 1(AIO) https://ocemida.com/blogs/hydrogen-water/best-hydrogen-water-bottle-2025; purewaternorthwest 1(AIO) https://purewaternorthwest.com/top-hydrogen-water-bottles-2026/
best way to get hydrogen water	200	5	28000	CI	piurify 1 https://www.piurify.com/blogs/news/how-to-get-hydrogen-infused-water-at-home; tyentusa 1(AIO) https://www.tyentusa.com/blog/how-to-drink-hydrogen-water
