article_id,handle,change_type,old_href,new_href_or_anchor,verified_live
gid://shopify/Article/607006196018,blog/everything-you-need-to-know-about-the-echo-go,repair_redirect,https://hydrogenstudies.com/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder/,https://hydrogenstudies.com/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder-1775650467168,yes
gid://shopify/Article/607006196018,blog/everything-you-need-to-know-about-the-echo-go,repair_redirect,https://hydrogenstudies.com/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients/,https://hydrogenstudies.com/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients-1775650467169,yes
gid://shopify/Article/607006196018,blog/everything-you-need-to-know-about-the-echo-go,repair_redirect,https://hydrogenstudies.com/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players/,https://hydrogenstudies.com/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players-1775650467166,yes
gid://shopify/Article/607006785842,blog/why-echo-hydrogen-water-ppm-is-better,repair_redirect,https://hydrogenstudies.com/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults/,https://hydrogenstudies.com/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults-1775650467168,yes
gid://shopify/Article/607006785842,blog/why-echo-hydrogen-water-ppm-is-better,repair_redirect,https://hydrogenstudies.com/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans/,https://hydrogenstudies.com/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans-1775650467137,yes
gid://shopify/Article/607006785842,blog/why-echo-hydrogen-water-ppm-is-better,repair_redirect,https://hydrogenstudies.com/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats/,https://hydrogenstudies.com/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats-1775650467150,yes
gid://shopify/Article/607006916914,blog/hydrogen-enriched-water-for-pets,repair_redirect,https://hydrogenstudies.com/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs/,https://hydrogenstudies.com/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs-1775650467165,yes
gid://shopify/Article/607006949682,blog/8-natural-ways-to-fight-inflammation,repair_redirect,https://hydrogenstudies.com/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study/,https://hydrogenstudies.com/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study-1775650467167,yes
gid://shopify/Article/607009308978,blog/which-fruits-are-considered-superfoods,repair_redirect,https://hydrogenstudies.com/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study/,https://hydrogenstudies.com/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study-1775650467171,yes
gid://shopify/Article/607009308978,blog/which-fruits-are-considered-superfoods,repair_redirect,https://hydrogenstudies.com/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status/,https://hydrogenstudies.com/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status-1775650467166,yes
gid://shopify/Article/607009374514,blog/hydrogen-water-and-back-to-school,ok_no_change,https://hydrogenstudies.com/,https://hydrogenstudies.com/,yes
gid://shopify/Article/607009571122,newsroom/the-lyme-boss-podcast,ok_no_change,https://hydrogenstudies.com/,https://hydrogenstudies.com/,yes
gid://shopify/Article/675568124210,newsroom/the-ultimate-human-podcast-echo-founder-paul-barattiero-discusses-the-benefits-of-hydrogen-water-with-gary-brecka,repair_redirect,https://hydrogenstudies.com/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder/,https://hydrogenstudies.com/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder-1775650467168,n/a (unpublished)
