# live verification 2026-09-23 23:47-23:52 UTC (>6 min after apply at 23:40 UTC): GET from_path without following redirects, then GET the Location; per UA
# /start: Googlebot got a one-off 502 in the batch; re-checked 3x at 23:53 UTC -> 301 / -> 200 (both UAs)
from_path,expected_to,googlebot_hop1,googlebot_location,googlebot_final,chrome_hop1,chrome_location,chrome_final,ok
/start,/,502,,,301,/,200,yes
/secondary-topic/chronic-kidney-disease,/blog/is-hydrogen-water-good-for-kidneys,301,/blog/is-hydrogen-water-good-for-kidneys,200,301,/blog/is-hydrogen-water-good-for-kidneys,200,yes
/topics,/explore-by-condition,301,/explore-by-condition,200,301,/explore-by-condition,200,yes
/home19127410,/,301,/,200,301,/,200,yes
/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study,/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study-1775650467171,301,/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study-1775650467171,200,301,/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study-1775650467171,200,yes
/study/effects-of-hydrogen-rich-water-on-attenuating-fatigue-induced-by-daily-activities-or-mental-tasks,/study/effects-of-hydrogen-rich-water-on-attenuating-fatigue-induced-by-daily-activities-or-mental-tasks-1775650467164,301,/study/effects-of-hydrogen-rich-water-on-attenuating-fatigue-induced-by-daily-activities-or-mental-tasks-1775650467164,200,301,/study/effects-of-hydrogen-rich-water-on-attenuating-fatigue-induced-by-daily-activities-or-mental-tasks-1775650467164,200,yes
/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans,/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans-1775650467137,301,/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans-1775650467137,200,301,/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans-1775650467137,200,yes
/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water,/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water-1775650467133,301,/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water-1775650467133,200,301,/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water-1775650467133,200,yes
/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults,/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults-1775650467168,301,/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults-1775650467168,200,301,/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults-1775650467168,200,yes
/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis,/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis-1775650467162,301,/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis-1775650467162,200,301,/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis-1775650467162,200,yes
/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status,/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status-1775650467166,301,/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status-1775650467166,200,301,/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status-1775650467166,200,yes
/study/drinking-hydrogen-water-enhances-endurance-and-relieves-psychometric-fatigue-a-randomized-double-blind-placebo-controlled-study,/study/drinking-hydrogen-water-enhances-endurance-and-relieves-psychometric-fatigue-a-randomized-double-blind-placebo-controlled-study-1775650467139,301,/study/drinking-hydrogen-water-enhances-endurance-and-relieves-psychometric-fatigue-a-randomized-double-blind-placebo-controlled-study-1775650467139,200,301,/study/drinking-hydrogen-water-enhances-endurance-and-relieves-psychometric-fatigue-a-randomized-double-blind-placebo-controlled-study-1775650467139,200,yes
/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice,/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice-1775650467133,301,/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice-1775650467133,200,301,/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice-1775650467133,200,yes
/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults,/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults-1775650467168,301,/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults-1775650467168,200,301,/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults-1775650467168,200,yes
/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats,/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats-1775650467147,301,/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats-1775650467147,200,301,/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats-1775650467147,200,yes
/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder,/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder-1775650467168,301,/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder-1775650467168,200,301,/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder-1775650467168,200,yes
/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients,/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients-1775650467169,301,/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients-1775650467169,200,301,/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients-1775650467169,200,yes
/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats,/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats-1775650467150,301,/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats-1775650467150,200,301,/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats-1775650467150,200,yes
/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease,/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease-1775650467168,301,/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease-1775650467168,200,301,/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease-1775650467168,200,yes
/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study,/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study-1775650467167,301,/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study-1775650467167,200,301,/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study-1775650467167,200,yes
/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy,/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy-1775650467164,301,/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy-1775650467164,200,301,/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy-1775650467164,200,yes
/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-db-db-mice,/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-dbdb-mice-1775650467157,301,/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-dbdb-mice-1775650467157,200,301,/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-dbdb-mice-1775650467157,200,yes
/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players,/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players-1775650467166,301,/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players-1775650467166,200,301,/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players-1775650467166,200,yes
