# approved-by: josh (auto-approve directive in session, 2026-09-23)
# Legacy-URL 301 map. Built 2026-09-23 from Ahrefs (pages-by-backlinks, backlinks-to-legacy, Googlebot status audit), prod not_found_log (hits>=20, scanner noise dropped), and prod gsc_query_metrics pages (2026-01-24..2026-09-21). Every from_path was probed live as Googlebot: only 404s are listed. applied=yes rows were inserted by scripts/consolidation/legacy-redirects.ts --apply; DEFERRED rows wait on the url-hygiene PR deploy.
from_path,to_path,previous_to_path,status_code,previous_status_code,match_method,confidence,sources,referring_domains,gsc_impressions,gsc_clicks,nf_hits,applied,reason
/start,/,,,,structural,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+gsc+not_found_log,4,2758,106,1158,yes,old WP landing page -> homepage (directive)
/secondary-topic/chronic-kidney-disease,/blog/is-hydrogen-water-good-for-kidneys,,,,curated-same-topic-article,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+gsc+not_found_log,4,1295,10,337,yes,article published 2026-09-23 for this topic (coordinator directive): legacy anchor 'Hydrogen water and kidney disease' (4 RDs); URL ranks ~#27.6 for 'is hydrogen water good for kidneys'
/topics,/explore-by-condition,,,,structural,high,ahrefs-404-audit+ahrefs-pages-by-backlinks+gsc+not_found_log,3,818,13,923,yes,old topic index -> condition index (directive)
/home19127410,/,,,,structural,high,ahrefs-404-audit+ahrefs-pages-by-backlinks+not_found_log,2,,,2273,yes,old WP homepage variant (directive /home<digits>)
/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study,/study/can-hydrogen-water-enhance-oxygen-saturation-in-patients-with-chronic-lung-disease-a-non-randomized-observational-pilot-study-1775650467171,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,3,,,,yes,current slug = <old-slug>-<13-digit id>
/study/effects-of-hydrogen-rich-water-on-attenuating-fatigue-induced-by-daily-activities-or-mental-tasks,/study/effects-of-hydrogen-rich-water-on-attenuating-fatigue-induced-by-daily-activities-or-mental-tasks-1775650467164,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks,3,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans,/study/hydrogen-vs-caffeine-for-improved-alertness-in-sleep-deprived-humans-1775650467137,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,3,,,,yes,current slug = <old-slug>-<13-digit id>
/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water,/study/alleviation-of-the-chronic-stress-response-attributed-to-the-antioxidant-and-anti-inflammatory-effects-of-electrolyzed-hydrogen-water-1775650467133,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults,/study/antioxidant-effects-of-continuous-intake-of-electrolyzed-hydrogen-water-in-healthy-adults-1775650467168,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis,/study/assessment-of-antibacterial-effect-of-hydrogen-water-on-plaque-from-patients-with-chronic-periodontitis-1775650467162,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status,/study/different-effects-of-hydrogen-rich-water-intake-and-hydrogen-gas-inhalation-on-gut-microbiome-and-plasma-metabolites-of-rats-in-health-status-1775650467166,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/drinking-hydrogen-water-enhances-endurance-and-relieves-psychometric-fatigue-a-randomized-double-blind-placebo-controlled-study,/study/drinking-hydrogen-water-enhances-endurance-and-relieves-psychometric-fatigue-a-randomized-double-blind-placebo-controlled-study-1775650467139,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-pages-by-backlinks,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice,/study/drinking-molecular-hydrogen-water-is-beneficial-to-cardiovascular-function-in-diet-induced-obesity-mice-1775650467133,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults,/study/effects-of-alkaline-reduced-water-on-exercise-induced-oxidative-stress-and-fatigue-in-young-male-healthy-adults-1775650467168,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats,/study/effects-of-hydrogen-gas-inhalation-on-endometriosis-in-rats-1775650467147,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder,/study/effects-of-molecular-hydrogen-intervention-on-the-gut-microbiome-in-methamphetamine-abusers-with-mental-disorder-1775650467168,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients,/study/hydrogen-gas-treatment-improves-postoperative-delirium-and-cognitive-dysfunction-in-elderly-noncardiac-patients-1775650467169,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats,/study/hydrogen-improves-neurological-function-through-attenuation-of-blood-brain-barrier-disruption-in-spontaneously-hypertensive-stroke-prone-rats-1775650467150,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease,/study/hydrogen-inhalation-ameliorates-hepatic-inflammation-and-modulates-gut-microbiota-in-rats-with-high-fat-diet-induced-non-alcoholic-fatty-liver-disease-1775650467168,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study,/study/hydrogen-rich-water-alleviates-inflammation-and-fatigue-in-covid-19-a-pilot-study-1775650467167,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy,/study/magnesium-based-micromotors-for-enhanced-active-and-synergistic-hydrogen-chemotherapy-1775650467164,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-db-db-mice,/study/molecular-hydrogen-improves-obesity-and-diabetes-by-inducing-hepatic-fgf21-and-stimulating-energy-metabolism-in-dbdb-mice-1775650467157,,,,slug-compact-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,"identical letters/digits; differs only in punctuation (e.g. db/db, NF-kB)"
/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players,/study/molecular-hydrogen-mitigates-performance-decrement-during-repeated-sprints-in-professional-soccer-players-1775650467166,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/molecular-hydrogen-reduces-electromagnetic-pulse-induced-male-rat-reproductive-system-damage-in-a-rodent-model,/study/molecular-hydrogen-reduces-electromagnetic-pulse-induced-male-rat-reproductive-system-damage-in-a-rodent-model-1775650467167,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/protective-effects-of-hydrogen-rich-saline-against-erectile-dysfunction-in-a-streptozotocin-induced-diabetic-rat-model,/study/protective-effects-of-hydrogen-rich-saline-against-erectile-dysfunction-in-a-streptozotocin-induced-diabetic-rat-model-1775650467153,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study,/study/revealing-the-antibacterial-power-of-hydrogen-releasing-pdh-nanohydride-against-drug-resistant-staphylococcus-aureus-an-in-depth-mechanism-study-1775650467169,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults,/study/short-term-h2-inhalation-improves-running-performance-and-torso-strength-in-healthy-adults-1775650467139,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs,/study/the-therapeutic-effects-of-oral-intake-of-hydrogen-rich-water-on-cutaneous-wound-healing-in-dogs-1775650467165,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study,/study/two-weeks-of-hydrogen-inhalation-can-significantly-reverse-adaptive-and-innate-immune-system-senescence-patients-with-advanced-non-small-cell-lung-cancer-a-self-controlled-study-1775650467134,,,,slug-prefix-exact,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+echowater-link,2,,,,yes,current slug = <old-slug>-<13-digit id>
/tools/hydrogen-research,/,,,,structural,high,not_found_log,,,,1256,yes,Echo app-proxy base path hit on this host -> homepage
/study,/studies,,,,structural,high,ahrefs-404-audit+ahrefs-backlinks+ahrefs-pages-by-backlinks+gsc,1,53,,,yes,bare /study (and /study?id=N) -> studies directory (directive)
